Tm,Year,,Opp,Result,OT,Rushing yards,Rusing TDs
,,,,,,,
GNB,2020,,TAM,L 26-31,,67,0
TAM,2020,@,GNB,W 31-26,,76,1
KAN,2018,,NWE,L 31-37,OT,41,1
NWE,2018,@,KAN,W 37-31,OT,176,4
JAX,2017,@,NWE,L 20-24,,101,1
NWE,2017,,JAX,W 24-20,,46,1
NWE,2016,,PIT,W 36-17,,57,1
PIT,2016,@,NWE,L 17-36,,54,1
DEN,2015,,NWE,W 20-18,,99,0
NWE,2015,@,DEN,L 18-20,,44,1
IND,2014,@,NWE,L 7-45,,83,1
NWE,2014,,IND,W 45-7,,177,3
DEN,2013,,NWE,W 26-16,,107,0
NWE,2013,@,DEN,L 16-26,,64,1
NWE,2012,,BAL,L 13-28,,108,0
BAL,2012,@,NWE,W 28-13,,121,1
NWE,2011,,BAL,W 23-20,,96,2
BAL,2011,@,NWE,L 20-23,,116,0
NWE,2007,,SDG,W 21-12,,149,1
SDG,2007,@,NWE,L 12-21,,104,0
IND,2006,,NWE,W 38-34,,125,2
NWE,2006,@,IND,L 34-38,,93,1
NWE,2004,@,PIT,W 41-27,,126,2
PIT,2004,,NWE,L 27-41,,163,1
IND,2003,@,NWE,L 14-24,,98,1
NWE,2003,,IND,W 24-14,,112,0
NWE,2001,@,PIT,W 24-17,,67,0
PIT,2001,,NWE,L 17-24,,58,2
